site.plot.subplot,Site,GN_Rank,Plot,Subplot,Dice,Clone,stem,Ldraba.cvr,Texture,pH,Salts,OM,Nitrate,K,S,Zn,Fe,Mn,Cu,Mg,Na,CEC,P,Sand,Silt,Clay,canopy,grass,forb,woody,bare,litter
1.1.1,1,1,1,1,0.916666666,1,16,10,Sandy Clay Loam,7.6,0.18,6.5,3.9,772,15,3.41,72.5,11.1,2.79,535,72,18.2,58,49,27,24,0,45,5,0,0,40
1.1.2,1,1,1,2,0.869565218,0,12,10,Sandy Clay Loam,7.3,0.36,5.9,1.4,424,63,2.21,68.6,8,2.03,458,70,15.5,50,53,23,24,0,40,20,0,0,30
1.1.3,1,1,1,3,0.465116279,0,30,10,Sandy Clay Loam,7.6,0.27,7.6,5,489,18,2.59,41.4,9.2,1.89,486,65,15.8,28,53,21,26,0,20,50,0,0,20
1.1.4,1,1,1,4,0.941176471,1,14,5,Sandy Clay Loam,7.8,0.16,5.3,0.9,402,14,1.94,36.5,5.5,1.58,455,32,14.5,39,59,21,20,0,30,45,0,0,20
1.1.5,1,1,1,5,0.954545455,1,22,10,Sandy Clay Loam,8,0.21,7.4,1.4,613,16,2.98,53.8,7.5,2.01,524,66,17,41,47,27,26,0,35,5,0,0,50
1.2.10,1,1,2,10,0.930232558,1,7,5,Sandy Clay Loam,7.2,0.25,6.6,7.8,483,25,3,103.5,10.8,2.45,445,66,15.2,51,48,22,30,0,50,5,0,0,40
1.2.6,1,1,2,6,0.983050847,1,28,20,Clay Loam,8.1,0.64,5.8,5.1,447,65,2.36,44.3,7.9,2.51,760,183,24.9,57,41,27,32,0,55,5,0,0,20
1.2.7,1,1,2,7,0.872727273,0,27,20,Sandy Clay Loam,8.3,0.29,5.4,1.3,596,12,1.76,40.3,5.8,1.85,502,143,20.2,53,48,24,28,0,50,10,0,0,20
1.2.8,1,1,2,8,0.697674418,0,7,5,Sandy Clay Loam,7.6,0.25,7.6,0.8,666,16,3.3,51,10.1,1.86,481,31,15.3,53,52,24,24,0,47,3,0,0,45
1.2.9,1,1,2,9,0.857142857,0,25,25,Sandy Clay Loam,8.1,0.3,6.1,2.6,434,14,2.11,50.1,7,1.85,567,104,20,34,48,24,28,0,45,10,0,0,20
1.3.11,1,1,3,11,0.92,1,15,5,Sandy Clay Loam,8.4,0.3,9.3,1.6,310,18,3.59,60.3,12.6,2.05,500,312,15.6,17,48,24,28,42,70,15,0,0,10
1.3.12,1,1,3,12,0.979591837,1,15,5,Sandy Clay Loam,8.4,0.6,14.6,3.4,452,24,7.98,45.5,11.5,1.69,598,363,16.1,46,52,24,24,9,63,15,0,2,15
1.3.13,1,1,3,13,0.615384615,0,40,5,Sandy Clay Loam,8.2,0.33,8.9,2.2,589,16,3.31,47.5,10.6,2.18,604,246,18.4,39,48,24,28,5,50,40,0,0,5
1.3.14,1,1,3,14,0.538461539,0,5,5,Sandy Clay Loam,8.4,0.32,6.5,1.1,534,12,2.21,24.3,8.8,1.48,492,322,16.7,52,50,24,26,5,63,5,0,2,15
1.3.15,1,1,3,15,0.679245283,0,30,5,Sandy Clay Loam,8.4,0.32,5.8,1.4,451,11,1.97,31.7,8,1.41,526,278,16.2,29,56,22,22,21,60,30,0,0,5
2.1.1,2,5,1,1,0.81632653,0,7,10,Loam,7.8,0.35,3.9,1,267,60,1.2,21.1,8.6,0.93,328,35,16.8,33,50,30,20,0,60,0,0,0,30
2.1.2,2,5,1,2,0.958333333,1,8,25,Sandy Loam,7.8,0.62,4.8,0.9,319,99,1.45,22.5,5.8,0.74,270,51,19.9,31,54,28,18,0,25,10,0,0,40
2.1.3,2,5,1,3,0.916666666,1,3,5,Loam,8.1,0.23,3.5,0.4,224,52,0.83,12.5,5.9,0.58,262,32,16.1,29,50,32,18,0,85,0,0,0,10
2.1.4,2,5,1,4,0.93877551,1,7,25,Loam,8.1,0.27,3.4,0.6,211,52,0.67,11.3,5.5,0.57,297,29,20.8,27,48,30,22,0,55,0,0,0,20
2.1.5,2,5,1,5,0.92,1,8,33,Loam,8.1,0.24,4.2,0.8,211,36,0.83,12.9,5.5,0.64,309,38,20.9,25,48,30,22,0,33,0,0,0,33
2.2.10,2,5,2,10,0.93877551,1,104,70,Sandy Clay Loam,7.9,0.24,5.6,5.1,469,22,1.4,12.4,4.9,1.31,343,14,20.6,27,57,21,22,0,10,0,0,0,20
2.2.6,2,5,2,6,0.863636364,0,34,25,Loamy Sand,6.2,0.07,2.9,3,132,15,2.59,45.9,5.7,0.31,128,11,6.7,20,87,5,8,0,65,0,0,0,10
